Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_E3_mult_16_U45              1.432e+08       2.744e+08  0.0009775   0.0006418   6.791e-05    0.001687      0.1244    FA_X1
mul_E3_mult_16_U37              1.187e+08       2.714e+08  0.0009815   0.0006316   7.389e-05    0.001687      0.1244    FA_X1
mul_F3_mult_16_U50               1.27e+08       2.714e+08  0.0009732   0.0006388   7.084e-05    0.001683       0.124    FA_X1
FE_DBTC11_int_reg_1d_0          3.704e+07       3.704e+07  6.842e-05    0.001585   2.892e-05    0.001683       0.124    INV_X2
mul_E2_mult_16_U56              1.527e+08       2.744e+08  0.0009597   0.0006548   6.028e-05    0.001675      0.1235    FA_X1
mul_F0_mult_16_U50              1.519e+08       2.676e+08  0.0009563   0.0006432   6.787e-05    0.001667      0.1229    FA_X1
mul_E3_mult_16_U339             4.354e+08       4.841e+08  0.0009325   0.0006908   4.259e-05    0.001666      0.1228    XOR2_X1
mul_F0_mult_16_U34              1.421e+08       2.668e+08  0.0009517   0.0006429    7.07e-05    0.001665      0.1228    FA_X1
U441                            4.441e+08       4.252e+08   0.001272   0.0003653    2.52e-05    0.001663      0.1226    OAI22_X1
mul_E2_mult_16_U47              9.297e+07       2.623e+08  0.0009399   0.0006554   6.735e-05    0.001663      0.1226    FA_X1
mul_E2_mult_16_U339             4.331e+08       4.822e+08  0.0009282   0.0006877   4.285e-05    0.001659      0.1223    XOR2_X1
mul_F1_mult_16_U34              1.353e+08       2.668e+08  0.0009459   0.0006384   7.021e-05    0.001654       0.122    FA_X1
U463                            4.422e+08       4.305e+08   0.001288   0.0003395    2.48e-05    0.001653      0.1218    OAI22_X1
mul_F2_mult_16_U335             4.255e+08       4.735e+08   0.000941   0.0006741   3.652e-05    0.001652      0.1217    XOR2_X1
int_reg_3d_reg_5_               1.667e+08       7.559e+07  0.0007047   0.0008487   8.824e-05    0.001642       0.121    DFFR_X1
mul_F2_mult_16_U45              1.361e+08       2.646e+08  0.0009419   0.0006321   6.664e-05    0.001641      0.1209    FA_X1
mul_F2_mult_16_U32              9.297e+07       2.604e+08  0.0009279   0.0006514   6.008e-05    0.001639      0.1208    FA_X1
mul_F3_mult_16_U45              1.209e+08       2.638e+08  0.0009446    0.000621   6.925e-05    0.001635      0.1205    FA_X1
U495                            4.146e+08       4.146e+08   0.001241   0.0003519    2.49e-05    0.001618      0.1193    OAI22_X1
mul_F0_mult_16_U36              9.297e+07       2.698e+08  0.0009453   0.0005958   6.023e-05    0.001601       0.118    FA_X1
U509                            4.119e+08       3.953e+08   0.001182   0.0003842   2.497e-05    0.001592      0.1173    OAI22_X1
FE_OFC3_int_reg_1d_7            2.683e+07       2.683e+07  0.0001074    0.001452    2.26e-05    0.001582      0.1166    CLKBUF_X2
int_mul_E2_d_reg_9_              4.83e+08       9.675e+07   0.001313   0.0001794   8.808e-05     0.00158      0.1165    DFFR_X1
int_mul_E2_d_reg_10_            4.762e+08       9.675e+07   0.001305   0.0001805   8.808e-05    0.001574       0.116    DFFR_X1
int_reg_1d_reg_2_               1.667e+08       8.088e+07  0.0008381   0.0006402   8.841e-05    0.001567      0.1155    DFFR_X1
int_mul_E3_d_reg_9_             4.849e+08       9.599e+07   0.001306   0.0001717   8.811e-05    0.001566      0.1154    DFFR_X1
U503                            4.271e+08       4.078e+08   0.001219   0.0003209    2.52e-05    0.001565      0.1153    OAI22_X1
mul_F1_mult_16_U328             3.817e+07         6.5e+07  0.0004163    0.001075    7.04e-05    0.001561      0.1151    XOR2_X2
int_mul_F3_d_reg_10_            5.348e+08       9.599e+07    0.00127   0.0002023   8.827e-05    0.001561       0.115    DFFR_X1
mul_E2_mult_16_U60              1.308e+08       2.547e+08  0.0009015   0.0005929   6.193e-05    0.001556      0.1147    FA_X1
mul_E2_mult_16_U333             3.817e+07         6.5e+07  0.0004163    0.001069    7.04e-05    0.001556      0.1147    XOR2_X2
mul_E3_mult_16_U14                1.5e+08        3.08e+08   0.001076   0.0004124   6.414e-05    0.001553      0.1145    FA_X1
int_mul_E3_d_reg_10_            4.788e+08       9.599e+07   0.001299   0.0001655   8.811e-05    0.001553      0.1145    DFFR_X1
U431                            4.014e+08        4.01e+08     0.0012   0.0003273    2.49e-05    0.001552      0.1144    OAI22_X1
mul_F2_mult_16_U56              1.447e+08       2.498e+08  0.0008863   0.0005904   6.938e-05    0.001546       0.114    FA_X1
mul_E3_mult_16_U334             3.817e+07       6.463e+07  0.0004018    0.001072   7.103e-05    0.001545      0.1139    XOR2_X2
mul_F2_mult_16_U60              1.209e+08       2.559e+08  0.0008946    0.000586    6.25e-05    0.001543      0.1137    FA_X1
mul_F3_mult_16_U329             3.779e+07       6.425e+07  0.0003929    0.001076   7.192e-05    0.001541      0.1136    XOR2_X2
mul_E2_mult_16_U58              9.297e+07       2.336e+08   0.000827   0.0006459   6.106e-05    0.001534      0.1131    FA_X1
FE_OFC9_int_reg_2d_1            3.439e+07       3.439e+07  0.0001373    0.001369   2.225e-05    0.001528      0.1126    CLKBUF_X2
mul_E3_mult_16_U47              7.067e+07       2.475e+08  0.0008865   0.0005738    6.73e-05    0.001528      0.1126    FA_X1
int_mul_F0_d_reg_9_             5.064e+08       9.751e+07   0.001251   0.0001885   8.827e-05    0.001527      0.1126    DFFR_X1
mul_F0_mult_16_U47              1.096e+08       2.426e+08  0.0008706   0.0005844   6.981e-05    0.001525      0.1124    FA_X1
