Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
add_A0_add_16_U1_5              1.357e+08       2.747e+08   0.001014    0.002011   7.612e-05    0.003101      0.4022    FA_X1
mul_B0_mult_16_U42              2.381e+08       5.231e+08   0.001851    0.001135   6.175e-05    0.003048      0.3953    FA_X1
mul_B0_mult_16_U24              2.983e+08        5.08e+08   0.001777    0.001169   6.247e-05    0.003008      0.3902    FA_X1
mul_B0_mult_16_U26              2.983e+08       4.935e+08   0.001765    0.001156    6.05e-05    0.002981      0.3866    FA_X1
mul_B0_mult_16_U38              2.251e+08       5.048e+08   0.001783    0.001129   6.029e-05    0.002973      0.3856    FA_X1
mul_B0_mult_16_U31              1.928e+08       4.952e+08   0.001741    0.001171   6.007e-05    0.002971      0.3854    FA_X1
mul_A2_mult_16_U3               1.875e+08       4.231e+08   0.001555    0.001301   7.322e-05    0.002929      0.3799    FA_X1
mul_B0_mult_16_U249              1.81e+08        1.81e+08  0.0001761    0.002733   1.446e-05    0.002923      0.3791    INV_X1
add_A1_add_16_U1_7              2.207e+08       4.643e+08   0.001665    0.001099   7.456e-05    0.002839      0.3682    FA_X1
mul_B0_mult_16_U48               2.54e+08       4.747e+08   0.001676    0.001059   6.491e-05      0.0028      0.3631    FA_X1
mul_A2_mult_16_U2               2.116e+08       4.231e+08   0.001525    0.001176   7.587e-05    0.002777      0.3601    FA_X1
mul_A2_mult_16_U4               1.725e+08       4.082e+08   0.001493    0.001202   7.322e-05    0.002768       0.359    FA_X1
mul_B0_mult_16_U391             2.067e+08       1.904e+08  0.0002973    0.002441   4.085e-06    0.002743      0.3557    NAND2_X1
add_A1_add_16_U1_8               2.28e+08       4.639e+08   0.001659    0.001005   7.456e-05    0.002739      0.3552    FA_X1
mul_B0_mult_16_U46              2.631e+08       4.749e+08   0.001688   0.0009516   6.469e-05    0.002704      0.3507    FA_X1
mul_B0_mult_16_U53              2.265e+08         4.6e+08    0.00163    0.001006   6.619e-05    0.002702      0.3504    FA_X1
mul_B0_mult_16_U49              2.313e+08        4.59e+08   0.001638   0.0009744   7.245e-05    0.002685      0.3482    FA_X1
mul_B0_mult_16_U376             1.793e+08       1.747e+08  0.0005201    0.002123   3.711e-05    0.002681      0.3477    XNOR2_X1
mul_B2_mult_16_U3               1.839e+08        4.14e+08   0.001516     0.00107   7.311e-05    0.002659      0.3449    FA_X1
mul_B0_mult_16_U383             2.173e+08       1.831e+08  0.0002705    0.002325   1.503e-05    0.002611      0.3386    NAND2_X1
add_A0_add_16_U1_8              2.311e+08       3.282e+08   0.001192    0.001331   7.612e-05    0.002599      0.3371    FA_X1
mul_B2_mult_16_U2                2.07e+08        4.14e+08   0.001489   0.0009962   7.532e-05    0.002561      0.3321    FA_X1
mul_B2_mult_16_U4               1.602e+08       3.957e+08   0.001443    0.001028   7.311e-05    0.002543      0.3299    FA_X1
mul_B0_mult_16_U51              2.292e+08        4.33e+08   0.001522   0.0009574    6.21e-05    0.002541      0.3296    FA_X1
mul_B0_mult_16_U34              2.096e+08       4.371e+08   0.001536   0.0009148   5.695e-05    0.002508      0.3252    FA_X1
mul_B0_mult_16_U43              2.366e+08       4.065e+08   0.001441   0.0009794   6.374e-05    0.002484      0.3221    FA_X1
add_A0_add_16_U1_9              2.214e+08       1.887e+08   0.001357     0.00105   7.612e-05    0.002483       0.322    FA_X1
